date,area,price_type,avg_price_gbp,mom_change_pct,yoy_change_pct,days_to_find_buyer,bank_rate_pct,source_url,collected_as_of,price_lag1,mom_lag1,price_lag2,mom_lag2,price_lag3,mom_lag3,fwd_1m_return_pct,fwd_1m_end_date,fwd_3m_return_pct,fwd_3m_end_date
2025-10-01,East Midlands,asking_rightmove,289928,-0.6,1.1,70,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,291578,0.04,291440,-0.3,,,-1.8615,2025-11-01,-3.218,2026-01-01
2025-11-01,East Midlands,asking_rightmove,284531,-1.9,-0.8,71,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,289928,-0.6,291578,0.04,291440,-0.3,-0.795,2025-12-01,0.7504,2026-02-01
2025-12-01,East Midlands,asking_rightmove,282269,-0.8,0.8,75,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,284531,-1.9,289928,-0.6,291578,0.04,-0.592,2026-01-01,2.8161,2026-03-01
2026-01-01,East Midlands,asking_rightmove,280598,-0.6,-0.2,80,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,282269,-0.8,284531,-1.9,289928,-0.6,2.1625,2026-02-01,3.8468,2026-04-01
2026-02-01,East Midlands,asking_rightmove,286666,2.2,0.4,86,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,280598,-0.6,282269,-0.8,284531,-1.9,1.2391,2026-03-01,2.693,2026-05-01
2026-03-01,East Midlands,asking_rightmove,290218,1.2,1.3,79,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,286666,2.2,280598,-0.6,282269,-0.8,0.4045,2026-04-01,1.5478,2026-06-01
2026-04-01,East Midlands,asking_rightmove,291392,0.4,-0.23,73,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,290218,1.2,286666,2.2,280598,-0.6,1.0275,2026-05-01,0.0268,2026-07-01
2026-05-01,East Midlands,asking_rightmove,294386,1.0,0.8,68,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,291392,0.4,290218,1.2,286666,2.2,0.1101,2026-06-01,,
2026-06-01,East Midlands,asking_rightmove,294710,0.1,0.9,65,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,294386,1.0,291392,0.4,290218,1.2,-1.0994,2026-07-01,,
2026-07-01,East Midlands,asking_rightmove,291470,-1.1,-0.3,68,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,294710,0.1,294386,1.0,291392,0.4,,,,
