date,area,price_type,avg_price_gbp,mom_change_pct,yoy_change_pct,days_to_find_buyer,bank_rate_pct,source_url,collected_as_of,price_lag1,mom_lag1,price_lag2,mom_lag2,price_lag3,mom_lag3,fwd_1m_return_pct,fwd_1m_end_date,fwd_3m_return_pct,fwd_3m_end_date
2025-12-01,Wales,asking_rightmove,255789,-2.1,-1.0,77,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,261305,-2.4,267838,0.1,267528,-1.2,0.9402,2026-01-01,4.0385,2026-03-01
2026-01-01,Wales,asking_rightmove,258194,0.9,-1.6,84,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,255789,-2.1,261305,-2.4,267838,0.1,1.9536,2026-02-01,6.1245,2026-04-01
2026-02-01,Wales,asking_rightmove,263238,2.0,3.1,87,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,258194,0.9,255789,-2.1,261305,-2.4,1.0944,2026-03-01,4.7858,2026-05-01
2026-03-01,Wales,asking_rightmove,266119,1.1,1.3,85,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,263238,2.0,258194,0.9,255789,-2.1,2.9641,2026-04-01,2.0066,2026-06-01
2026-04-01,Wales,asking_rightmove,274007,2.96,1.93,79,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,266119,1.1,263238,2.0,258194,0.9,0.6675,2026-05-01,-0.7248,2026-07-01
2026-05-01,Wales,asking_rightmove,275836,0.7,1.7,71,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,274007,2.96,266119,1.1,263238,2.0,-1.5868,2026-06-01,,
2026-06-01,Wales,asking_rightmove,271459,-1.6,-0.3,66,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,275836,0.7,274007,2.96,266119,1.1,0.207,2026-07-01,,
2026-07-01,Wales,asking_rightmove,272021,0.2,0.4,66,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,271459,-1.6,275836,0.7,274007,2.96,,,,
2025-08-01,South West,asking_rightmove,380492,-1.8,-0.8,69,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,0.5359,2025-09-01,-2.5333,2025-11-01
2025-09-01,South West,asking_rightmove,382531,0.5,-1.3,71,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,380492,-1.8,,,,,-0.5592,2025-10-01,-5.0765,2025-12-01
2025-10-01,South West,asking_rightmove,380392,-0.6,-1.0,72,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,382531,0.5,380492,-1.8,,,-2.5077,2025-11-01,-2.8074,2026-01-01
2025-11-01,South West,asking_rightmove,370853,-2.5,-1.1,74,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,380392,-0.6,382531,0.5,380492,-1.8,-2.0873,2025-12-01,0.1785,2026-02-01
2025-12-01,South West,asking_rightmove,363112,-2.1,-2.7,77,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,370853,-2.5,380392,-0.6,382531,0.5,1.8179,2026-01-01,3.5149,2026-03-01
2026-01-01,South West,asking_rightmove,369713,1.8,-0.4,86,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,363112,-2.1,370853,-2.5,380392,-0.6,0.4874,2026-02-01,4.8843,2026-04-01
2026-02-01,South West,asking_rightmove,371515,0.5,-1.5,89,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,369713,1.8,363112,-2.1,370853,-2.5,1.1736,2026-03-01,4.9142,2026-05-01
2026-03-01,South West,asking_rightmove,375875,1.2,-1.8,81,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,371515,0.5,369713,1.8,363112,-2.1,3.1649,2026-04-01,2.4484,2026-06-01
2026-04-01,South West,asking_rightmove,387771,3.16,-1.67,75,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,375875,1.2,371515,0.5,369713,1.8,0.516,2026-05-01,-0.9632,2026-07-01
2026-05-01,South West,asking_rightmove,389772,0.5,-2.2,68,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,387771,3.16,375875,1.2,371515,0.5,-1.2043,2026-06-01,,
