date,area,property_scope,avg_rent_gbp_pcm,avg_mortgage_payment_gbp_pcm,rent_minus_mortgage_gbp_pcm,note,source,collected_as_of
2022-03-01,UK,FTB_2bed_or_fewer,1008,886,122,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-02-01,UK,FTB_2bed_or_fewer,995,855,140,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-01-01,UK,FTB_2bed_or_fewer,985,844,141,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-12-01,UK,FTB_2bed_or_fewer,978,833,145,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-11-01,UK,FTB_2bed_or_fewer,972,836,136,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-10-01,UK,FTB_2bed_or_fewer,964,827,137,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-09-01,UK,FTB_2bed_or_fewer,950,829,121,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-08-01,UK,FTB_2bed_or_fewer,935,837,98,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-07-01,UK,FTB_2bed_or_fewer,926,844,82,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-06-01,UK,FTB_2bed_or_fewer,917,846,71,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-05-01,UK,FTB_2bed_or_fewer,903,852,51,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-04-01,UK,FTB_2bed_or_fewer,896,839,57,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-03-01,UK,FTB_2bed_or_fewer,892,822,70,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-02-01,UK,FTB_2bed_or_fewer,888,819,69,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2021-01-01,UK,FTB_2bed_or_fewer,885,820,65,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-12-01,UK,FTB_2bed_or_fewer,884,817,67,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-11-01,UK,FTB_2bed_or_fewer,884,818,66,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-10-01,UK,FTB_2bed_or_fewer,895,817,78,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-09-01,UK,FTB_2bed_or_fewer,895,799,96,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-08-01,UK,FTB_2bed_or_fewer,891,792,99,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-07-01,UK,FTB_2bed_or_fewer,886,779,107,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-06-01,UK,FTB_2bed_or_fewer,887,749,138,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-05-01,UK,FTB_2bed_or_fewer,892,744,148,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-04-01,UK,FTB_2bed_or_fewer,893,752,141,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-03-01,UK,FTB_2bed_or_fewer,895,766,129,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-02-01,UK,FTB_2bed_or_fewer,894,759,135,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2020-01-01,UK,FTB_2bed_or_fewer,892,758,134,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-12-01,UK,FTB_2bed_or_fewer,889,746,143,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-11-01,UK,FTB_2bed_or_fewer,886,751,135,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-10-01,UK,FTB_2bed_or_fewer,885,752,133,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-09-01,UK,FTB_2bed_or_fewer,881,761,120,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-08-01,UK,FTB_2bed_or_fewer,877,760,117,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-07-01,UK,FTB_2bed_or_fewer,874,764,110,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-06-01,UK,FTB_2bed_or_fewer,868,765,103,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-05-01,UK,FTB_2bed_or_fewer,865,766,99,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-04-01,UK,FTB_2bed_or_fewer,864,760,104,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-03-01,UK,FTB_2bed_or_fewer,862,757,105,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2019-02-01,UK,FTB_2bed_or_fewer,862,759,103,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
