published_at,event_type,title,summary,value_pct,prev_value_pct,source,source_url,tags,collected_as_of
1977-04-01,boe_bank_rate_change,Bank Rate changed to 8.75%,BoE Bank Rate moved from 9.5% to 8.75%,8.75,9.5,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1977-05-01,boe_bank_rate_change,Bank Rate changed to 8.0%,BoE Bank Rate moved from 8.75% to 8.0%,8.0,8.75,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1977-08-01,boe_bank_rate_change,Bank Rate changed to 7.0%,BoE Bank Rate moved from 8.0% to 7.0%,7.0,8.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1977-09-01,boe_bank_rate_change,Bank Rate changed to 6.0%,BoE Bank Rate moved from 7.0% to 6.0%,6.0,7.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1977-10-01,boe_bank_rate_change,Bank Rate changed to 5.0%,BoE Bank Rate moved from 6.0% to 5.0%,5.0,6.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1977-11-01,boe_bank_rate_change,Bank Rate changed to 7.0%,BoE Bank Rate moved from 5.0% to 7.0%,7.0,5.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1978-01-01,boe_bank_rate_change,Bank Rate changed to 6.5%,BoE Bank Rate moved from 7.0% to 6.5%,6.5,7.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1978-04-01,boe_bank_rate_change,Bank Rate changed to 7.5%,BoE Bank Rate moved from 6.5% to 7.5%,7.5,6.5,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1978-05-01,boe_bank_rate_change,Bank Rate changed to 9.0%,BoE Bank Rate moved from 7.5% to 9.0%,9.0,7.5,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1978-06-01,boe_bank_rate_change,Bank Rate changed to 10.0%,BoE Bank Rate moved from 9.0% to 10.0%,10.0,9.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
