date,area,avg_asking_price_ftb_gbp,afford_4_5x_salary_1_person_gbp,afford_4_5x_salary_2_people_gbp,gap_vs_1_person_gbp,gap_vs_2_people_gbp,affordable_single,affordable_couple,source,collected_as_of
2023-07-01,UK,225552,155610,311220,69942,-85668,no,yes,rightmove_hpi,2026-08-09
2023-06-01,UK,226412,156780,313560,69632,-87148,no,yes,rightmove_hpi,2026-08-09
2023-05-01,UK,226399,153270,306540,73129,-80141,no,yes,rightmove_hpi,2026-08-09
2023-04-01,UK,224963,152568,305136,72395,-80173,no,yes,rightmove_hpi,2026-08-09
2023-03-01,UK,224453,150696,301392,73757,-76939,no,yes,rightmove_hpi,2026-08-09
2023-02-01,UK,223249,150462,300924,72787,-77675,no,yes,rightmove_hpi,2026-08-09
2023-01-01,UK,222582,149526,299052,73056,-76470,no,yes,rightmove_hpi,2026-08-09
2022-12-01,UK,221695,148590,297180,73105,-75485,no,yes,rightmove_hpi,2026-08-09
2022-11-01,UK,223770,148122,296244,75648,-72474,no,yes,rightmove_hpi,2026-08-09
2022-10-01,UK,224713,146952,293904,77761,-69191,no,yes,rightmove_hpi,2026-08-09
2022-09-01,UK,224479,144846,289692,79633,-65213,no,yes,rightmove_hpi,2026-08-09
2022-08-01,UK,224091,145080,290160,79011,-66069,no,yes,rightmove_hpi,2026-08-09
2022-07-01,UK,224943,143676,287352,81267,-62409,no,yes,rightmove_hpi,2026-08-09
2022-06-01,UK,224251,143676,287352,80575,-63101,no,yes,rightmove_hpi,2026-08-09
2022-05-01,UK,223117,142038,284076,81079,-60959,no,yes,rightmove_hpi,2026-08-09
2022-04-01,UK,220466,141804,283608,78662,-63142,no,yes,rightmove_hpi,2026-08-09
2022-03-01,UK,218201,142272,284544,75929,-66343,no,yes,rightmove_hpi,2026-08-09
2022-02-01,UK,215334,141102,282204,74232,-66870,no,yes,rightmove_hpi,2026-08-09
2022-01-01,UK,214176,140868,281736,73308,-67560,no,yes,rightmove_hpi,2026-08-09
2021-12-01,UK,211163,141804,283608,69359,-72445,no,yes,rightmove_hpi,2026-08-09
2021-11-01,UK,211364,138060,276120,73304,-64756,no,yes,rightmove_hpi,2026-08-09
2021-10-01,UK,210672,137826,275652,72846,-64980,no,yes,rightmove_hpi,2026-08-09
2021-09-01,UK,209056,136890,273780,72166,-64724,no,yes,rightmove_hpi,2026-08-09
2021-08-01,UK,208714,136656,273312,72058,-64598,no,yes,rightmove_hpi,2026-08-09
2021-07-01,UK,207386,135720,271440,71666,-64054,no,yes,rightmove_hpi,2026-08-09
2021-06-01,UK,205540,135018,270036,70522,-64496,no,yes,rightmove_hpi,2026-08-09
2021-05-01,UK,205925,136188,272376,69737,-66451,no,yes,rightmove_hpi,2026-08-09
2021-04-01,UK,203564,134784,269568,68780,-66004,no,yes,rightmove_hpi,2026-08-09
2021-03-01,UK,201296,128934,257868,72362,-56572,no,yes,rightmove_hpi,2026-08-09
2021-02-01,UK,200692,133146,266292,67546,-65600,no,yes,rightmove_hpi,2026-08-09
2021-01-01,UK,200578,133380,266760,67198,-66182,no,yes,rightmove_hpi,2026-08-09
2020-12-01,UK,201037,133380,266760,67657,-65723,no,yes,rightmove_hpi,2026-08-09
2020-11-01,UK,201220,132912,265824,68308,-64604,no,yes,rightmove_hpi,2026-08-09
2020-10-01,UK,201628,131742,263484,69886,-61856,no,yes,rightmove_hpi,2026-08-09
2020-09-01,UK,200324,130572,261144,69752,-60820,no,yes,rightmove_hpi,2026-08-09
2020-08-01,UK,201196,129168,258336,72028,-57140,no,yes,rightmove_hpi,2026-08-09
2020-07-01,UK,199340,126594,253188,72746,-53848,no,yes,rightmove_hpi,2026-08-09
2020-06-01,UK,205991,124488,248976,81503,-42985,no,yes,rightmove_hpi,2026-08-09
2020-05-01,UK,210569,124488,248976,86081,-38407,no,yes,rightmove_hpi,2026-08-09
2020-04-01,UK,195410,123786,247572,71624,-52162,no,yes,rightmove_hpi,2026-08-09
2020-03-01,UK,195463,123786,247572,71677,-52109,no,yes,rightmove_hpi,2026-08-09
2020-02-01,UK,193768,127998,255996,65770,-62228,no,yes,rightmove_hpi,2026-08-09
2020-01-01,UK,193103,127764,255528,65339,-62425,no,yes,rightmove_hpi,2026-08-09
2019-12-01,UK,190009,126828,253656,63181,-63647,no,yes,rightmove_hpi,2026-08-09
2019-07-01,UK,191368,126828,253656,64540,-62288,no,yes,rightmove_hpi,2026-08-09
2019-01-01,UK,190086,124020,248040,66066,-57954,no,yes,rightmove_hpi,2026-08-09
2018-07-01,UK,191272,121914,243828,69358,-52556,no,yes,rightmove_hpi,2026-08-09
2018-01-01,UK,188024,119340,238680,68684,-50656,no,yes,rightmove_hpi,2026-08-09
2017-07-01,UK,188420,117936,235872,70484,-47452,no,yes,rightmove_hpi,2026-08-09
2017-01-01,UK,184602,116298,232596,68304,-47994,no,yes,rightmove_hpi,2026-08-09
2016-07-01,UK,181367,116064,232128,65303,-50761,no,yes,rightmove_hpi,2026-08-09
